image_id,filename,monument_category,source_title,source_url,image_url,width,height,timestamp,license,downloaded_at
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,File:20191204 Great Gate; Taj Mahal 0620 6532 DxO.jpg,https://commons.wikimedia.org/wiki/File:20191204_Great_Gate;_Taj_Mahal_0620_6532_DxO.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg/1280px-20191204_Great_Gate%2C_Taj_Mahal_0620_6532_DxO.jpg,5218,3470,2020-02-14T20:26:50Z,CC BY-SA 4.0,2026-02-28T00:43:53.686637
